modelo,slug,MAE_train,RMSE_train,R2_train,MAE_test,RMSE_test,R2_test,best_params,model_path,report_path
Lasso,lasso,6388.418863098528,8014.753860628896,0.7139705380000397,6339.790720024516,7941.93477380553,0.7084726285888819,{'model__alpha': 10},/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/lasso/informe/lasso_offer_salary.pkl,/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/lasso/informe/lasso_offer_salary.md
Ridge,ridge,6388.034450296296,8014.240423804022,0.7140071837554485,6341.340304386773,7944.566869203034,0.7082793620795746,{'model__alpha': 1},/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/ridge/informe/ridge_offer_salary.pkl,/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/ridge/informe/ridge_offer_salary.md
Regresion lineal,linear_regression,6388.0279758577835,8014.240212463384,0.7140071988390747,6341.336190477954,7944.591527378933,0.708277551204272,"{'fit_intercept': True, 'positive': False, 'n_jobs': None}",/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/linear_regression/informe/linear_regression_offer_salary.pkl,/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/linear_regression/informe/linear_regression_offer_salary.md
Gradient Boosting,gradient_boosting,6362.605433075497,7981.482027771496,0.7163404101428565,6349.863085271908,7951.833872717576,0.7077454363155619,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/gradient_boosting/informe/gradient_boosting_offer_salary.pkl,/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/gradient_boosting/informe/gradient_boosting_offer_salary.md
Random Forest,random_forest,6233.935373566383,7820.863971957786,0.7276421764226744,6421.544429496525,8031.734612784926,0.7018427289497802,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__n_estimators': 400}",/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/random_forest/informe/random_forest_offer_salary.pkl,/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/random_forest/informe/random_forest_offer_salary.md
Arbol de regresion,decision_tree,6322.25345862392,7930.404596116651,0.7199593479321706,6510.068935204441,8152.485547121556,0.6928102078972997,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/decision_tree/informe/decision_tree_offer_salary.pkl,/home/naciscric/Documents/university/2026-1/mineria/job/outputs_regresion/decision_tree/informe/decision_tree_offer_salary.md
